Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
US,2020-03-25 23:33:19,34.22333378,-82.46170658,65778,942,361
Canada,2020-03-25 23:37:36,53.9333,-116.5765,3251,30,183
China,2020-03-08 05:19:01,31.8257,117.2264,81661,3285,73773
Netherlands,2020-03-25 23:33:04,12.5211,-69.9683,6438,357,4
Australia,2020-03-25 23:37:49,-35.4735,149.0124,2364,8,119
United Kingdom,2020-03-25 23:33:04,32.3078,-64.7505,9640,466,140
Denmark,2020-03-25 23:33:04,61.8926,-6.9118,1862,34,41
France,2020-03-25 23:33:04,4.0,-53.0,25600,1333,3907
Albania,2020-03-25 23:33:04,41.1533,20.1683,146,5,17
Algeria,2020-03-25 23:33:04,28.0339,1.6596,302,21,65
Andorra,2020-03-25 23:33:04,42.5063,1.5218,188,1,1
Angola,2020-03-25 23:33:04,-11.2027,17.8739,3,0,0
Antigua and Barbuda,2020-03-25 23:33:04,17.0608,-61.7964,3,0,0
Argentina,2020-03-25 23:33:04,-38.4161,-63.6167,387,8,52
Armenia,2020-03-25 23:33:04,40.0691,45.0382,265,0,16
Austria,2020-03-25 23:33:04,47.5162,14.5501,5588,30,9
Azerbaijan,2020-03-25 23:33:04,40.1431,47.5769,93,2,10
Bahamas,2020-03-25 23:33:04,25.025885,-78.035889,5,0,1
Bahrain,2020-03-25 23:33:04,26.0275,50.55,419,4,177
Bangladesh,2020-03-25 23:33:04,23.685,90.3563,39,5,7
Barbados,2020-03-25 23:33:04,13.1939,-59.5432,18,0,0
Belarus,2020-03-25 23:33:04,53.7098,27.9534,86,0,29
Belgium,2020-03-25 23:33:04,50.8333,4.469936,4937,178,547
Belize,2020-03-25 23:33:04,17.1899,-88.4976,2,0,0
Bhutan,2020-03-25 23:33:04,27.5142,90.4336,2,0,0
Bolivia,2020-03-25 23:33:04,-16.2902,-63.5887,32,0,0
Bosnia and Herzegovina,2020-03-25 23:33:04,43.9159,17.6791,176,3,2
Brazil,2020-03-25 23:33:04,-14.235,-51.9253,2554,59,2
Brunei,2020-03-25 23:33:04,4.5353,114.7277,109,0,2
Bulgaria,2020-03-25 23:33:04,42.7339,25.4858,242,3,4
Cabo Verde,2020-03-25 23:33:04,16.5388,-23.0418,4,1,0
Cambodia,2020-03-25 23:33:04,11.55,104.9167,96,0,10
Chad,2020-03-25 23:33:04,15.4542,18.7322,3,0,0
Chile,2020-03-25 23:33:04,-35.6751,-71.543,1142,3,22
Costa Rica,2020-03-25 23:33:04,9.7489,-83.7534,201,2,2
Croatia,2020-03-25 23:33:04,45.1,15.2,442,1,22
Cuba,2020-03-25 23:33:04,21.521757,-77.78116700000002,57,1,1
Cyprus,2020-03-25 23:33:04,35.1264,33.4299,132,3,3
Czechia,2020-03-25 23:33:04,49.8175,15.473,1654,6,10
Djibouti,2020-03-25 23:33:04,11.8251,42.5903,11,0,0
Dominica,2020-03-25 23:33:04,15.415,-61.371,7,0,0
Dominican Republic,2020-03-25 23:33:04,18.7357,-70.1627,392,10,3
Ecuador,2020-03-25 23:33:04,-1.8312,-78.1834,1173,28,3
Egypt,2020-03-25 23:33:04,26.820553000000004,30.802498,456,21,95
El Salvador,2020-03-25 23:33:04,13.7942,-88.8965,9,0,0
Estonia,2020-03-25 23:33:04,58.5953,25.0136,404,1,8
Eswatini,2020-03-25 23:33:04,-26.5225,31.4659,4,0,0
Ethiopia,2020-03-25 23:33:04,9.145,40.4897,12,0,0
Fiji,2020-03-25 23:33:04,-17.7134,178.065,5,0,0
Finland,2020-03-25 23:33:04,61.92411,25.748151,880,3,10
Gambia,2020-03-25 23:33:04,13.4432,-15.3101,3,1,0
Georgia,2020-03-25 23:33:04,42.3154,43.3569,75,0,10
Germany,2020-03-25 23:33:04,51.165691,10.451526,37323,206,3547
Ghana,2020-03-25 23:33:04,7.9465,-1.0232,93,4,0
Greece,2020-03-25 23:33:04,39.0742,21.8243,821,22,36
Grenada,2020-03-25 23:33:04,12.1165,-61.679,1,0,0
Guatemala,2020-03-25 23:33:04,15.7835,-90.2308,24,1,4
Guinea,2020-03-25 23:33:04,9.9456,-9.6966,4,0,0
Guinea-Bissau,2020-03-25 23:33:04,11.8037,-15.1804,2,0,0
Guyana,2020-03-25 23:33:04,4.860416000000002,-58.93018000000001,5,1,0
Honduras,2020-03-25 23:33:04,15.2,-86.2419,36,0,0
Hungary,2020-03-25 23:33:04,47.1625,19.5033,226,10,21
Iceland,2020-03-25 23:33:04,64.9631,-19.0208,737,2,56
India,2020-03-25 23:33:04,20.593684,78.96288,657,12,43
Indonesia,2020-03-25 23:33:04,-0.7893,113.9213,790,58,31
Iran,2020-03-25 23:33:04,32.427908,53.68804599999999,27017,2077,9625
Ireland,2020-03-25 23:33:04,53.1424,-7.6921,1564,9,5
Israel,2020-03-25 23:33:04,31.046051,34.851612,2369,5,58
Italy,2020-03-25 23:33:04,41.87194,12.56738,74386,7503,9362
Jamaica,2020-03-25 23:33:04,18.1096,-77.2975,26,1,2
Japan,2020-03-25 23:33:04,36.204824,138.252924,1307,45,310
Jordan,2020-03-25 23:33:04,31.24,36.51,172,0,1
Kazakhstan,2020-03-25 23:33:04,48.0196,66.9237,81,0,0
Kenya,2020-03-25 23:33:04,-0.0236,37.9062,28,0,1
"Korea, South",2020-03-25 23:33:04,35.90775700000001,127.766922,9137,126,3730
Kuwait,2020-03-25 23:33:04,29.31166,47.481766,195,0,43
Kyrgyzstan,2020-03-25 23:33:04,41.20438,74.766098,44,0,0
Latvia,2020-03-25 23:33:04,56.8796,24.6032,221,0,1
Lebanon,2020-03-25 23:33:04,33.8547,35.8623,333,6,20
Liberia,2020-03-25 23:33:04,6.4280550000000005,-9.429499,3,0,0
Liechtenstein,2020-03-25 23:33:04,47.14,9.55,51,0,0
Lithuania,2020-03-25 23:33:04,55.1694,23.8813,274,4,1
Luxembourg,2020-03-25 23:33:04,49.8153,6.1296,1333,8,6
Malaysia,2020-03-25 23:33:04,4.210483999999999,101.975766,1796,20,199
Maldives,2020-03-25 23:33:04,3.2028,73.2207,13,0,8
Mali,2020-03-25 23:33:04,17.570692,-3.996166000000001,2,0,0
Malta,2020-03-25 23:33:04,35.9375,14.3754,129,0,2
Mauritania,2020-03-25 23:33:04,21.0079,-10.9408,2,0,0
Mauritius,2020-03-25 23:33:04,-20.348404,57.552152,48,2,0
Mexico,2020-03-25 23:33:04,23.6345,-102.5528,405,5,4
Moldova,2020-03-25 23:33:04,47.4116,28.3699,149,1,2
Monaco,2020-03-25 23:33:04,43.7333,7.4167,31,0,1
Mongolia,2020-03-25 23:33:04,46.8625,103.8467,10,0,0
Montenegro,2020-03-25 23:33:04,42.708678000000006,19.37439,52,1,0
Mozambique,2020-03-25 23:33:04,-18.665695,35.529562,5,0,0
Namibia,2020-03-25 23:33:04,-22.9576,18.4904,7,0,2
Nepal,2020-03-25 23:33:04,28.1667,84.25,3,0,1
New Zealand,2020-03-25 23:33:04,-40.9006,174.886,205,0,22
Niger,2020-03-25 23:33:04,17.607789,8.081666,7,1,0
North Macedonia,2020-03-25 23:33:04,41.6086,21.7453,177,3,1
Norway,2020-03-25 23:33:04,60.472,8.4689,3084,14,6
Oman,2020-03-25 23:33:04,21.512583,55.92325500000001,99,0,17
Pakistan,2020-03-25 23:33:04,30.3753,69.3451,1063,8,21
Panama,2020-03-25 23:33:04,8.538,-80.7821,443,8,1
Peru,2020-03-25 23:33:04,-9.19,-75.0152,480,9,1
Philippines,2020-03-25 23:33:04,12.879721,121.774017,636,38,26
Poland,2020-03-25 23:33:04,51.9194,19.1451,1051,14,7
Portugal,2020-03-25 23:33:04,39.3999,-8.2245,2995,43,22
Qatar,2020-03-25 23:33:04,25.3548,51.1839,537,0,41
Romania,2020-03-25 23:33:04,45.9432,24.9668,906,17,86
Russia,2020-03-25 23:33:04,61.52401,105.318756,658,3,29
Rwanda,2020-03-25 23:33:04,-1.9403,29.8739,41,0,0
Saint Lucia,2020-03-25 23:33:04,13.9094,-60.9789,3,0,0
Saint Vincent and the Grenadines,2020-03-25 23:33:04,12.9843,-61.2872,1,0,0
San Marino,2020-03-25 23:33:04,43.9424,12.4578,208,21,4
Saudi Arabia,2020-03-25 23:33:04,23.885942,45.079162,900,2,29
Senegal,2020-03-25 23:33:04,14.4974,-14.4524,99,0,9
Serbia,2020-03-25 23:33:04,44.0165,21.0059,384,4,15
Seychelles,2020-03-25 23:33:04,-4.6796,55.492,7,0,0
Singapore,2020-03-25 23:33:04,1.2833,103.8333,631,2,160
Slovakia,2020-03-25 23:33:04,48.669,19.699,216,0,7
Slovenia,2020-03-25 23:33:04,46.1512,14.9955,528,5,10
South Africa,2020-03-25 23:33:04,-30.5595,22.9375,709,0,12
Spain,2020-03-25 23:33:04,40.463667,-3.74922,49515,3647,5367
Sri Lanka,2020-03-25 23:33:04,7.873054,80.77179699999998,102,0,3
Sudan,2020-03-25 23:33:04,12.8628,30.2176,3,1,0
Suriname,2020-03-25 23:33:04,3.9193,-56.0278,8,0,0
Sweden,2020-03-25 23:33:04,60.128161,18.643501,2526,62,16
Switzerland,2020-03-25 23:33:04,46.8182,8.2275,10897,153,131
Tanzania,2020-03-25 23:33:04,-6.369028,34.888822,12,0,0
Thailand,2020-03-25 23:33:04,15.870032,100.992541,934,4,70
Timor-Leste,2020-03-25 23:33:04,-8.874217,125.727539,1,0,0
Togo,2020-03-25 23:33:04,8.6195,0.8248,23,0,1
Trinidad and Tobago,2020-03-25 23:33:04,10.6918,-61.2225,60,1,0
Tunisia,2020-03-25 23:33:04,33.886917,9.537499,173,5,2
Turkey,2020-03-25 23:33:04,38.9637,35.2433,2433,59,26
Uganda,2020-03-25 23:33:04,1.373333,32.290275,14,0,0
Ukraine,2020-03-25 23:33:04,48.3794,31.1656,145,5,1
Uruguay,2020-03-25 23:33:04,-32.5228,-55.7658,189,0,0
Uzbekistan,2020-03-25 23:33:04,41.377491,64.585262,60,0,0
Venezuela,2020-03-25 23:33:04,6.4238,-66.5897,91,0,15
Vietnam,2020-03-25 23:33:04,14.058324,108.277199,141,0,17
Zambia,2020-03-25 23:33:04,-13.133897,27.849332,12,0,0
Zimbabwe,2020-03-25 23:33:04,-19.015438,29.154857,3,1,0
