Country_Region,Age,Values
Kyrgyzstan,70s,109278.0
Kyrgyzstan,80+,62939.0
Latvia,Total,1934379.0
Latvia,< 30,616828.0
Latvia,30s,264821.0
Latvia,40s,262146.0
Latvia,50s,275831.0
Latvia,60s,237452.0
Latvia,70s,173019.0
Latvia,80+,104419.0
Lebanon,Total,3759134.0
Lebanon,< 30,1965309.0
Lebanon,30s,526325.0
Lebanon,40s,441755.0
Lebanon,50s,323275.0
Lebanon,60s,262044.0
Lebanon,70s,176574.0
Lebanon,80+,63852.0
Liberia,Total,3476608.0
Liberia,< 30,2468555.0
Liberia,30s,423168.0
Liberia,40s,274544.0
Liberia,50s,139400.0
Liberia,60s,92637.0
Liberia,70s,48659.0
Liberia,80+,29645.0
Liechtenstein,Total,38201.0
Liechtenstein,< 30,12067.0
Liechtenstein,30s,4886.0
Liechtenstein,40s,5705.0
Liechtenstein,50s,6211.0
Liechtenstein,60s,4636.0
Liechtenstein,70s,3221.0
Liechtenstein,80+,1415.0
Lithuania,Total,2808901.0
Lithuania,< 30,919678.0
Lithuania,30s,346610.0
Lithuania,40s,381161.0
Lithuania,50s,431278.0
Lithuania,60s,333514.0
Lithuania,70s,238137.0
Lithuania,80+,158523.0
Luxembourg,Total,602005.0
Luxembourg,< 30,212795.0
Luxembourg,30s,93391.0
Luxembourg,40s,91457.0
Luxembourg,50s,85824.0
Luxembourg,60s,58477.0
Luxembourg,70s,36305.0
Luxembourg,80+,23832.0
Malaysia,Total,32384982.0
Malaysia,< 30,17089615.0
Malaysia,30s,5306826.0
Malaysia,40s,3719818.0
Malaysia,50s,3038302.0
Malaysia,60s,1975038.0
Malaysia,70s,911113.0
Malaysia,80+,344270.0
Maldives,Total,533941.443214532
Maldives,< 30,283538.04127827333
Maldives,30s,122193.12237698957
Maldives,40s,62425.07180229884
Maldives,50s,36364.863500174724
Maldives,60s,17339.02880434171
Maldives,70s,8068.043271936052
Maldives,80+,4012.7872497884205
Mali,Total,14528662.0
Mali,< 30,10418963.0
Mali,30s,1464747.0
Mali,40s,992490.0
Mali,50s,664483.0
Mali,60s,416392.0
Mali,70s,210483.0
Mali,80+,85594.0
Malta,Total,475701.0
Malta,< 30,160138.0
Malta,30s,75127.0
Malta,40s,61835.0
Malta,50s,59051.0
Malta,60s,59335.0
Malta,70s,40276.0
Malta,80+,19939.0
Mauritania,Total,3537368.0
Mauritania,< 30,2485496.0
Mauritania,30s,392482.0
Mauritania,40s,276149.0
Mauritania,50s,184210.0
Mauritania,60s,109294.0
Mauritania,70s,60197.0
Mauritania,80+,29540.0
Mauritius,Total,1265303.0
Mauritius,< 30,518323.0
Mauritius,30s,182428.0
Mauritius,40s,172181.0
Mauritius,50s,180356.0
Mauritius,60s,131091.0
Mauritius,70s,56580.0
Mauritius,80+,24344.0
Mexico,Total,126577691.0
Mexico,< 30,65598942.0
Mexico,30s,18616022.0
Mexico,40s,16029594.0
Mexico,50s,12397632.0
Mexico,60s,7878236.0
Mexico,70s,4082445.0
Mexico,80+,1974820.0
Moldova,Total,2706049.0
Moldova,< 30,1020041.0
Moldova,30s,416064.0
Moldova,40s,341298.0
Moldova,50s,376707.0
Moldova,60s,351174.0
Moldova,70s,137631.0
Moldova,80+,63132.0
Monaco,Total,37307.999994416
Monaco,< 30,8923.122344205
Monaco,30s,3161.5288689339995
Monaco,40s,3855.0009452249997
Monaco,50s,5287.794748626
Monaco,60s,4867.3548589229995
Monaco,70s,4514.593664833001
Monaco,80+,6698.60456367
Mongolia,Total,3208189.0
Mongolia,< 30,1763291.0
Mongolia,30s,531995.0
Mongolia,40s,408995.5
Mongolia,50s,294755.5
Mongolia,60s,132639.5
Mongolia,70s,55626.0
Mongolia,80+,20886.5
Montenegro,Total,622359.0
Montenegro,< 30,233706.0
Montenegro,30s,90781.0
Montenegro,40s,82155.0
Montenegro,50s,83322.0
Montenegro,60s,74310.0
Montenegro,70s,38487.0
Montenegro,80+,19611.0
Mozambique,Total,20252223.0
Mozambique,< 30,14717617.0
Mozambique,30s,2289141.0
Mozambique,40s,1405501.0
Mozambique,50s,917188.0
Mozambique,60s,541337.0
Mozambique,70s,270077.0
Mozambique,80+,111362.0
Namibia,Total,2113077.0
Namibia,< 30,1401824.0
Namibia,30s,273985.0
Namibia,40s,178591.0
Namibia,50s,109374.0
Namibia,60s,71909.0
Namibia,70s,41333.0
Namibia,80+,36061.0
Nepal,Total,26494504.0
Nepal,< 30,16617651.0
Nepal,30s,3339624.0
Nepal,40s,2559080.0
Nepal,50s,1823739.0
Nepal,60s,1311276.0
Nepal,70s,630288.0
Nepal,80+,212846.0
Netherlands,Total,17181084.0
Netherlands,< 30,5985594.0
Netherlands,30s,2078145.0
Netherlands,40s,2307135.0
Netherlands,50s,2491356.0
Netherlands,60s,2079275.0
Netherlands,70s,1460665.0
Netherlands,80+,778914.0
New Zealand,Total,4885570.0
New Zealand,< 30,1997170.0
New Zealand,30s,628370.0
New Zealand,40s,615530.0
New Zealand,50s,625520.0
New Zealand,60s,509190.0
New Zealand,70s,333670.0
New Zealand,80+,176080.0
Niger,Total,17138707.0
Niger,< 30,12974695.0
Niger,30s,1627346.0
Niger,40s,1081951.0
Niger,50s,696880.0
Niger,60s,414139.0
Niger,70s,244485.0
Niger,80+,132151.0
North Macedonia,Total,2075301.0
North Macedonia,< 30,763779.0
North Macedonia,30s,323960.0
North Macedonia,40s,296101.0
North Macedonia,50s,281173.0
North Macedonia,60s,233258.0
North Macedonia,70s,125520.0
North Macedonia,80+,52421.0
Norway,Total,5295619.0
Norway,< 30,1974838.0
Norway,30s,708384.0
Norway,40s,735068.0
Norway,50s,680725.0
Norway,60s,572322.0
Norway,70s,401530.0
Norway,80+,222752.0
Oman,Total,2773479.0
Oman,< 30,1725788.0
Oman,30s,512347.0
Oman,40s,275503.0
Oman,50s,146220.0
Oman,60s,65087.0
Oman,70s,33077.0
Oman,80+,15457.0
Pakistan,Total,149860388.0
Pakistan,< 30,104018342.6653122
Pakistan,30s,16784741.86822807
Pakistan,40s,13054144.39558623
Pakistan,50s,8130292.143049501
Pakistan,60s,4972174.40856117
Pakistan,70s,2118244.317502418
Pakistan,80+,782448.201760228
Panama,Total,4218808.0
Panama,< 30,2124907.0
Panama,30s,607864.0
Panama,40s,549248.0
Panama,50s,426535.0
Panama,60s,273752.0
Panama,70s,152945.0
Panama,80+,124757.0
Peru,Total,29381884.0
Peru,< 30,15071585.0
Peru,30s,4379777.0
Peru,40s,3660378.0
Peru,50s,2772568.0
Peru,60s,1846407.0
Peru,70s,1078066.0
Peru,80+,573103.0
Philippines,Total,100979303.0
Philippines,< 30,60174919.0
Philippines,30s,14084581.0
Philippines,40s,11133653.0
Philippines,50s,8037381.0
Philippines,60s,4677308.0
Philippines,70s,2079178.0
Philippines,80+,792283.0
Poland,Total,37976687.0
Poland,< 30,12496426.0
Poland,30s,6123193.0
Poland,40s,5241089.0
Poland,50s,4866444.0
Poland,60s,5095197.0
Poland,70s,2516659.0
Poland,80+,1637679.0
Portugal,Total,10291027.0
Portugal,< 30,3066564.0
Portugal,30s,1296718.0
Portugal,40s,1579162.0
Portugal,50s,1476210.0
Portugal,60s,1278985.0
Portugal,70s,946500.0
Portugal,80+,646888.0
Qatar,Total,2760170.0
Qatar,< 30,1188727.0
Qatar,30s,886212.0
Qatar,40s,443236.0
Qatar,50s,175459.0
Qatar,60s,50049.0
Qatar,70s,12288.0
Qatar,80+,4199.0
Romania,Total,19530631.0
Romania,< 30,6340634.0
Romania,30s,2755849.0
Romania,40s,3150010.0
Romania,50s,2382990.0
Romania,60s,2538635.0
Romania,70s,1478394.0
Romania,80+,884119.0
Russia,Total,143201730.0
Russia,< 30,53569774.0
Russia,30s,21650532.0
Russia,40s,19235579.0
Russia,50s,21796855.0
Russia,60s,12709367.0
Russia,70s,9853932.0
Russia,80+,4385691.0
Rwanda,Total,10515973.0
Rwanda,< 30,7397637.0
Rwanda,30s,1270550.0
Rwanda,40s,756416.0
Rwanda,50s,579632.0
Rwanda,60s,278892.0
Rwanda,70s,152513.0
Rwanda,80+,115652.0
Saint Lucia,Total,178695.66126381603
Saint Lucia,< 30,76777.1151685273
Saint Lucia,30s,28618.0153175459
Saint Lucia,40s,25699.8259474882
Saint Lucia,50s,22803.6207809826
Saint Lucia,60s,13887.44924734985
Saint Lucia,70s,7448.63480192235
Saint Lucia,80+,3461.0
Saint Vincent and the Grenadines,Total,110607.63636363599
Saint Vincent and the Grenadines,< 30,54459.095439773955
Saint Vincent and the Grenadines,30s,15614.452196703041
Saint Vincent and the Grenadines,40s,14814.38942304756
Saint Vincent and the Grenadines,50s,11732.713823882452
Saint Vincent and the Grenadines,60s,6749.2545242736705
Saint Vincent and the Grenadines,70s,4571.81689797253
Saint Vincent and the Grenadines,80+,2665.91405798321
San Marino,Total,34453.0
San Marino,< 30,9828.0
San Marino,30s,4094.0
San Marino,40s,6064.0
San Marino,50s,5769.0
San Marino,60s,3874.0
San Marino,70s,2937.0
San Marino,80+,1947.0
Saudi Arabia,Total,33413660.0
Saudi Arabia,< 30,16299463.0
Saudi Arabia,30s,6835445.0
Saudi Arabia,40s,5617841.0
Saudi Arabia,50s,2824195.0
Saudi Arabia,60s,1185165.0
Saudi Arabia,70s,451097.0
Saudi Arabia,80+,200454.0
Senegal,Total,13508715.0
Senegal,< 30,8978087.0
Senegal,30s,8860856.0
Senegal,40s,981240.0
Senegal,50s,694361.0
Senegal,60s,878671.0
Senegal,70s,208755.0
Senegal,80+,98630.0
Serbia,Total,7001444.0
Serbia,< 30,2181203.0
Serbia,30s,967875.0
Serbia,40s,966253.0
Serbia,50s,958561.0
Serbia,60s,1034478.0
Serbia,70s,578595.0
Serbia,80+,314479.0
Seychelles,Total,95843.0
Seychelles,< 30,32900.0
Seychelles,30s,17313.0
Seychelles,40s,15298.0
Seychelles,50s,15280.0
Seychelles,60s,9675.0
Seychelles,70s,3614.0
Seychelles,80+,1763.0
Singapore,Total,3994283.0
Singapore,< 30,1364791.0
Singapore,30s,4926042.0
Singapore,40s,611478.0
Singapore,50s,613355.0
Singapore,60s,1087866.0
Singapore,70s,228873.0
Singapore,80+,106880.0
Slovakia,Total,5443120.0
Slovakia,< 30,1826341.0
Slovakia,30s,874811.0
Slovakia,40s,811753.0
Slovakia,50s,718405.0
Slovakia,60s,677096.0
Slovakia,70s,358506.0
Slovakia,80+,176208.0
Slovenia,Total,2066880.0
Slovenia,< 30,622707.0
Slovenia,30s,293359.0
Slovenia,40s,299618.0
Slovenia,50s,303469.0
Slovenia,60s,272674.0
Slovenia,70s,166800.0
Slovenia,80+,108253.0
South Africa,Total,51770560.0
South Africa,< 30,30537427.0
South Africa,30s,7496777.0
South Africa,40s,5568900.0
South Africa,50s,4015696.0
South Africa,60s,2343573.0
South Africa,70s,1229596.0
South Africa,80+,578583.0
Spain,Total,46658447.0
Spain,< 30,14016234.0
Spain,30s,6431119.0
Spain,40s,7740481.0
Spain,50s,6797280.0
Spain,60s,5119970.0
Spain,70s,3665248.0
Spain,80+,2888115.0
Sri Lanka,Total,20359439.0
Sri Lanka,< 30,9861646.0
Sri Lanka,30s,3048492.0
Sri Lanka,40s,2645039.0
Sri Lanka,50s,2283689.0
Sri Lanka,60s,1551199.0
Sri Lanka,70s,695600.0
Sri Lanka,80+,290470.0
Sudan,Total,39647621.0
Sudan,< 30,27515642.0
Sudan,30s,4847230.0
Sudan,40s,3335289.0
Sudan,50s,2075061.0
Sudan,60s,1128916.0
Sudan,70s,529443.0
Sudan,80+,216042.0
Suriname,Total,583200.0
Suriname,< 30,293500.0
Suriname,30s,84400.0
Suriname,40s,75400.0
Suriname,50s,61200.0
Suriname,60s,40000.0
Suriname,70s,20500.0
Suriname,80+,8200.0
Sweden,Total,10120242.0
Sweden,< 30,3690437.0
Sweden,30s,1290686.0
Sweden,40s,1298352.0
Sweden,50s,1269914.0
Sweden,60s,1125099.0
Sweden,70s,933084.0
Sweden,80+,512670.0
Switzerland,Total,8544527.0
Switzerland,< 30,2767387.0
Switzerland,30s,1207291.0
Switzerland,40s,1206179.0
Switzerland,50s,1262051.0
Switzerland,60s,930732.0
Switzerland,70s,697584.0
Switzerland,80+,438605.0
Tanzania,Total,44928923.0
Tanzania,< 30,31680825.0
Tanzania,30s,5350630.0
Tanzania,40s,3405033.0
Tanzania,50s,1984867.0
Tanzania,60s,1263553.0
Tanzania,70s,769962.0
Tanzania,80+,474053.0
Thailand,Total,65981659.0
Thailand,< 30,27370497.599999998
Thailand,30s,11009765.8
Thailand,40s,10938077.6
Thailand,50s,8155120.8
Thailand,60s,4698749.6
Thailand,70s,2731023.9
Thailand,80+,1078423.0
Timor-Leste,Total,1183643.0
Timor-Leste,< 30,799482.0
Timor-Leste,30s,121285.0
Timor-Leste,40s,103194.0
Timor-Leste,50s,62740.0
Timor-Leste,60s,59418.0
Timor-Leste,70s,28114.0
Timor-Leste,80+,9410.0
Togo,Total,6191155.0
Togo,< 30,4249165.0
Togo,30s,776388.0
Togo,40s,520030.0
Togo,50s,294183.0
Togo,60s,169018.0
Togo,70s,95330.0
Togo,80+,73591.0
Trinidad and Tobago,Total,1359193.0
Trinidad and Tobago,< 30,623860.0
Trinidad and Tobago,30s,202769.0
Trinidad and Tobago,40s,186556.0
Trinidad and Tobago,50s,164165.0
Trinidad and Tobago,60s,181843.0
Tunisia,Total,10982753.0
Tunisia,< 30,5298333.0
Tunisia,30s,1800767.0
Tunisia,40s,1410804.0
Tunisia,50s,1185776.0
Tunisia,60s,687727.0
Tunisia,70s,387577.0
Tunisia,80+,211769.0
Turkey,Total,75175826.5
Turkey,< 30,37727240.0
Turkey,30s,12202240.0
Turkey,40s,9660169.5
Turkey,50s,7382315.5
Turkey,60s,4515783.0
Turkey,70s,2585965.0
Turkey,80+,1102113.5
US,Total,327167434.0
US,< 30,127418000.0
US,30s,43699605.0
US,40s,40461436.0
US,50s,42825549.0
US,60s,37418544.0
US,70s,22672489.0
US,80+,12671811.0
Uganda,Total,34634650.0
Uganda,< 30,26234569.0
Uganda,30s,3487576.0
Uganda,40s,2193541.0
Uganda,50s,1288387.0
Uganda,60s,741203.0
Uganda,70s,427709.0
Uganda,80+,261665.0
Ukraine,Total,42216766.0
Ukraine,< 30,13740593.0
Ukraine,30s,6885439.0
Ukraine,40s,5934476.0
Ukraine,50s,5976513.0
Ukraine,60s,5076996.0
Ukraine,70s,2924847.0
Ukraine,80+,1677902.0
United Kingdom,Total,66273576.0
United Kingdom,< 30,24289770.0
United Kingdom,30s,8776124.0
United Kingdom,40s,8566903.0
United Kingdom,50s,8911564.0
United Kingdom,60s,7075336.0
United Kingdom,70s,5392688.0
United Kingdom,80+,3261191.0
Uruguay,Total,3518552.48924984
Uruguay,< 30,1484938.7599482455
Uruguay,30s,482834.2786802155
Uruguay,40s,460244.41153132747
Uruguay,50s,402035.3489995813
Uruguay,60s,330482.8263069941
Uruguay,70s,218938.8780666805
Uruguay,80+,139077.98571679744
Uzbekistan,Total,32388563.0
Uzbekistan,< 30,18184841.0
Uzbekistan,30s,5102182.0
Uzbekistan,40s,3733945.0
Uzbekistan,50s,3007048.0
Uzbekistan,60s,1538002.0
Uzbekistan,70s,544093.0
Uzbekistan,80+,278452.0
Venezuela,Total,32064741.0
Venezuela,< 30,16303737.0
Venezuela,30s,4926625.0
Venezuela,40s,4003970.0
Venezuela,50s,3310635.0
Venezuela,60s,2047451.0
Venezuela,70s,1009231.0
Venezuela,80+,463092.0
Vietnam,Total,96208984.0
Vietnam,< 30,45001779.0
Vietnam,30s,16086196.0
Vietnam,40s,12941590.0
Vietnam,50s,10770734.0
Vietnam,60s,6677305.0
Vietnam,70s,2812661.0
Vietnam,80+,1918719.0
Zambia,Total,13092666.0
Zambia,< 30,9726003.0
Zambia,30s,1523229.0
Zambia,40s,849402.0
Zambia,50s,479026.0
Zambia,60s,291494.0
Zambia,70s,156411.0
Zambia,80+,67101.0
Zimbabwe,Total,13061239.0
Zimbabwe,< 30,9111669.0
Zimbabwe,30s,1657488.0
Zimbabwe,40s,872800.0
Zimbabwe,50s,633199.0
Zimbabwe,60s,393829.0
Zimbabwe,70s,453660.0
Zimbabwe,80+,137825.0
