country,update,lat,long,confirmed,deaths,recovered,under30,thirties,fourties,fifties,sixties,seventies,eighties,total_pop,under30_frac,thirties_frac,fourties_frac,fifties_frac,sixties_frac,seventies_frac,eighties_frac,est_death_percent,deaths_per_conf_perc,deaths_per_10k,over_sixty,over_sixty_perc,relative_pop
Albania,2020-04-15 22:56:32,41.1533,20.1683,494,25,251,1202786.0,359276.0,346046.0,399874.0,304201.0,185708.0,72433.0,2870324.0,41.90418921348252,12.51691446679887,12.055990891620597,13.931319251763913,10.598141533847746,6.469931617475937,2.5235130250104167,0.6991703027254067,5.060728744939271,0.0870981812506184,562342.0,19.5915861763341,0.002153586879249857
Algeria,2020-04-15 22:56:32,28.0339,1.6596,2160,336,708,20373118.629000008,5083774.939699999,3647763.4755,2409272.2885000003,1342784.737,868768.2807,344224.70314,34069707.05354001,59.79833814533237,14.92168668110626,10.706765014937163,7.07159672583585,3.9412864187233394,2.549972852231293,1.010354161833726,0.2954284671782108,15.555555555555555,0.09862133521488205,2555777.7208399996,7.501613432788358,0.02556229683143438
Andorra,2020-04-15 22:56:32,42.5063,1.5218,673,33,169,23221.0,11331.0,14118.0,12718.0,7776.0,4453.0,2560.0,76177.0,30.482954172519268,14.874568439292698,18.533153051445975,16.69532798613755,10.207805505598804,5.845596439870302,3.3605944051354086,0.7466295601034433,4.903417533432393,4.332016225369863,14789.0,19.413996350604513,5.715514614399502e-05
Angola,2020-04-15 22:56:32,-11.2027,17.8739,19,2,5,18826481.0,2886479.0,1914991.0,1192488.0,571541.0,273111.0,123931.0,25789022.0,73.00191918871526,11.192665623380368,7.425605360296331,4.624014047527665,2.2162182032339186,1.059020384720289,0.480557192126169,0.15049559459835274,10.526315789473683,0.0007755237868268134,968583.0,3.7557957800803767,0.019349348508351637
Antigua & B.,2020-04-15 22:56:32,17.0608,-61.7964,23,2,3,43135.0,14116.0,13922.0,12410.0,7404.0,3743.0,1723.0,96453.0,44.721263205913765,14.63510725431039,14.433973023130436,12.866370149191834,7.676277565239029,3.880646532508061,1.7863622697064891,0.4911646086695074,8.695652173913043,0.2073548775051061,12870.0,13.343286367453578,7.236810731620767e-05
Argentina,2020-04-15 22:56:32,-38.4161,-63.6167,2443,111,596,21592293.0,6429424.0,5606795.0,4326823.0,3510579.0,2256624.0,1216174.0,44938712.0,48.04831300015897,14.307094515748469,12.476536933234758,9.628275505537408,7.8119261629038235,5.021559140368776,2.706294742047792,0.5932558903779885,4.543593941874744,0.024700307387537056,6983377.0,15.539780045320391,0.033717246043857105
Armenia,2020-04-15 22:56:32,40.0691,45.0382,1111,17,297,1225453.0,485119.0,346671.0,399192.0,293761.0,139246.0,83290.0,2972732.0,41.22312404885473,16.318961816941453,11.661697051735576,13.428455710101012,9.88185278726774,4.6841087592154285,2.801799825884069,0.6330685376280135,1.5301530153015301,0.05718645340380499,516297.0,17.367761372367234,0.0022304229873443505
Australia,2020-04-15 23:04:26,-35.4735,149.0124,6440,63,2186,9810718.0,3584903.0,3264783.0,3058380.0,2566403.0,1718337.0,989336.0,24992860.0,39.25408296609512,14.343708563165642,13.062862753602428,12.237014891452999,10.268544696365282,6.875311588989816,3.958474540328718,0.811031366558289,0.9782608695652175,0.025207199176084688,5274076.0,21.102330825683815,0.018751992935615833
Austria,2020-04-15 22:56:32,47.5162,14.5501,14336,393,8098,2866660.0,1187078.0,1237979.0,1360002.0,971747.0,763435.0,435727.0,8822628.0,32.49213272961299,13.45492522182733,14.031862161705105,15.414930789329437,11.01425788325202,8.653147338865471,4.938743875407646,0.9820352733901961,2.7413504464285716,0.4454455067129658,2170909.0,24.606149097525137,0.006619564864908075
Azerbaijan,2020-04-15 22:56:32,40.1431,47.5769,1253,13,404,4621289.0,1659007.0,1268583.0,1281702.0,681707.0,247928.0,137869.0,9898085.0,46.68871807021257,16.760888596127433,12.8164488383359,12.948989627791638,6.8872615258406045,2.5048077481654283,1.3928855935264246,0.39267671473825494,1.0375099760574622,0.013133853669674489,1067504.0,10.784954867532456,0.0074264738007625
Bahamas,2020-04-15 22:56:32,25.025885,-78.035889,49,8,6,182260.0,53850.0,56610.0,46800.0,25570.0,11910.0,4320.0,381320.0,47.797125773628444,14.121997272631912,14.845798804153992,12.273156404070072,6.705654043847686,3.123360956676807,1.1329067449910837,0.3945190391272422,16.3265306122449,0.2097975453687192,41800.0,10.961921745515578,0.0002861021086105804
Bahrain,2020-04-15 22:56:32,26.0275,50.55,1671,7,663,677855.0,389709.0,228526.0,130775.0,52827.0,16289.0,7110.0,1503091.0,45.097402619003105,25.92717273937506,15.2037368329662,8.700404699382805,3.5145576681651343,1.0837001884782758,0.47302525262941497,0.20930781968623324,0.41891083183722316,0.04657069997757953,76226.0,5.071283109272825,0.001127760160845447
Bangladesh,2020-04-15 22:56:32,23.685,90.3563,1231,50,49,89523001.0,20056193.0,14641735.0,9053268.0,6047504.0,3106439.0,1615557.0,144043697.0,62.14989122363333,13.923686643505132,10.164787009042124,6.285084449061315,4.198381550842867,2.156594883842783,1.1215742400724413,0.285691460001891,4.061738424045491,0.0034711688912011196,10769500.0,7.476550674758091,0.10807512179734483
Barbados,2020-04-15 22:56:32,13.1939,-59.5432,73,5,15,110884.0,39301.0,41478.0,36703.0,23637.0,15617.0,10201.0,277821.0,39.91202968818052,14.146158857681746,14.92975692982172,13.211024364608868,8.507996155798157,5.6212453342259945,3.6717886696829973,0.7156222891718048,6.8493150684931505,0.1799719963573668,49455.0,17.80103015970715,0.0002084474297605687
Belarus,2020-04-15 22:56:32,53.7098,27.9534,3728,36,203,3274485.0,1482291.0,1291512.0,1402423.0,1120661.0,560451.0,360000.0,9491823.0,34.49795682030733,15.61650485897177,13.606574838152795,14.775064811048416,11.806593949339343,5.904566488439576,3.792738233740768,0.7923957600136454,0.9656652360515022,0.03792738233740768,2041112.0,21.503898671519686,0.007121657859169214
Belgium,2020-04-15 22:56:32,50.8333,4.469936,33573,4440,7107,3982496.0,1479781.0,1513991.0,1594245.0,1309998.0,881301.0,637343.0,11399155.0,34.93676504969009,12.98149731273941,13.281607277030622,13.985641918194814,11.49206235023561,7.731283590757385,5.591142501352074,0.9895940620160003,13.224912876418552,3.8950255523326067,2828642.0,24.814488442345066,0.008552717617431135
Belize,2020-04-15 22:56:32,17.1899,-88.4976,18,2,0,206451.0,43518.0,32302.0,20360.0,10620.0,6059.0,3378.0,322688.0,63.9785179492265,13.48609182863943,10.010288575961921,6.3095001983339944,3.291104720349068,1.877665113050377,1.0468316144387149,0.254212428103927,11.11111111111111,0.06197937326457755,20057.0,6.215601447838159,0.00024211087072099799
Benin,2020-04-15 22:56:32,9.3077,2.3158,35,1,18,4918629.0,754798.0,460544.0,261394.0,180643.0,103389.0,92161.0,6771558.0,72.63659264234317,11.1465928520438,6.801152703705705,3.8601751620528097,2.667672638999769,1.5268125887720374,1.361001412082714,0.23704857877611032,2.857142857142857,0.0014767650221706732,376193.0,5.5554866398545215,0.005080659347474154
Bhutan,2020-04-15 22:56:32,27.5142,90.4336,5,0,2,412398.0,120729.0,77028.0,53215.0,35365.0,19339.0,9841.0,727915.0,56.6546918252818,16.585590350521695,10.582004767040107,7.3106063207929495,4.858396928212772,2.6567662433113757,1.3519435648393012,0.340866859454744,0.0,0.0,64545.0,8.867106736363448,0.0005461502580228433
Bolivia,2020-04-15 22:56:32,-16.2902,-63.5887,397,28,7,6063051.0,1384863.0,1006685.0,727245.0,484396.0,251699.0,143814.0,10061753.0,60.25839632517316,13.763635422177428,10.00506571767365,7.227816067438746,4.814230681273929,2.5015422262899913,1.4293135599730982,0.3353703176772477,7.052896725440807,0.027828152807964975,879909.0,8.745086467537018,0.007549272919382232
Bosnia & H.,2020-04-15 22:56:32,43.9159,17.6791,1110,41,253,1266835.0,501899.0,502066.0,535112.0,376820.0,257722.0,90705.0,3531159.0,35.87589797004326,14.21343530551867,14.218164630932788,15.154004676651489,10.671283847597914,7.298510205855924,2.568703363399949,0.7478994573736272,3.6936936936936933,0.11610918681373453,725247.0,20.538497416853787,0.002649407415659363
Botswana,2020-04-15 22:56:32,-22.3285,24.6849,13,1,0,1278718.0,305761.0,181558.0,120411.0,65331.0,40153.0,32972.0,2024904.0,63.149561658231704,15.100024494988403,8.966252227266084,5.94650413056619,3.2263751763046544,1.9829582044383338,1.628324108204636,0.2987544594706712,7.6923076923076925,0.004938505726691241,138456.0,6.837657488947624,0.0015192733245935135
Brazil,2020-04-15 22:56:32,-14.235,-51.9253,28320,1736,14026,97272772.0,29633091.0,24842716.0,18416623.0,11349930.0,6305083.0,2935584.0,190755799.0,50.993349879759094,15.534568886160047,13.023308402802474,9.654554722082132,5.94997900955032,3.305316552919054,1.5389225467268757,0.40935681646040023,6.129943502824859,0.09100640762171534,20590597.0,10.794218109196251,0.14312293172032947
Brunei,2020-04-15 22:56:32,4.5353,114.7277,136,1,108,211737.0,70692.0,54732.0,33825.0,13606.0,6502.0,2413.0,393507.0,53.80768321783348,17.964610540600294,13.908774176825316,8.595781015331367,3.4576259126267135,1.652321305593039,0.6132038311897883,0.23332138945431724,0.7352941176470588,0.025412508544955997,22521.0,5.72315104940954,0.0002952459416055377
Bulgaria,2020-04-15 22:56:32,42.7339,25.4858,747,36,105,2087843.0,979421.0,1067440.0,945874.0,967186.0,663980.0,338352.0,7050096.0,29.614391066447887,13.892307282056867,15.1407867353863,13.416469789914917,13.718763545914836,9.41802778288409,4.7992537973950995,1.0390018944422883,4.819277108433735,0.05106313445944566,1969518.0,27.936045126194024,0.0052896447380337205
Burkina Faso,2020-04-15 22:56:32,12.2383,-1.5616,542,32,226,10169159.0,1451644.0,977026.0,632373.0,402571.0,213395.0,104177.0,13950345.0,72.89539434329402,10.405792831646817,7.003597402071418,4.533027677810118,2.885742252252543,1.5296754309660443,0.7467700619590412,0.19837112272133772,5.904059040590406,0.022938500804101977,720143.0,5.162187745177628,0.010466860170840938
Burma,2020-04-15 22:56:32,21.9162,95.956,74,4,2,27502761.0,7462341.0,6229221.0,4611169.0,2641338.0,1266468.0,573191.0,50286489.0,54.6921480240945,14.839654047034385,12.387464553351498,9.169797080086463,5.252579872895879,2.5185055174561897,1.1398509050810846,0.33306000743062414,5.405405405405405,0.0007954422906717547,4480997.0,8.910936295433153,0.037729651047736165
Burundi,2020-04-15 22:56:32,-3.3731,29.9189,5,1,0,5896014.0,786384.0,584610.0,370004.0,174837.0,98598.0,55893.0,7966340.0,74.01157871745369,9.871333636274624,7.338501746096703,4.644592121350582,2.194696686307639,1.2376825493262904,0.7016145431904739,0.17244525089313284,20.0,0.001255281597320727,329328.0,4.133993778824404,0.00597709711504461
Cabo Verde,2020-04-15 22:56:32,16.5388,-23.0418,56,1,1,311941.0,61740.0,49803.0,30304.0,12408.0,16100.0,9032.0,491328.0,63.489359450306104,12.565943728018759,10.136405822586948,6.1677738700013025,2.5254005470887066,3.2768333984629407,1.8382831835352351,0.35851467858538494,1.7857142857142856,0.0203530024749251,37540.0,7.6405171290868825,0.0003686404511156489
Cambodia,2020-04-15 22:56:32,11.55,104.9167,122,0,96,8735645.0,1538183.0,1391101.0,881842.0,494450.0,266831.0,88249.0,13396301.0,65.20938130607846,11.482147198693132,10.384217255196043,6.582727575320979,3.6909442390104554,1.9918259525521262,0.6587564731488191,0.2366404203667863,0.0,0.0,849530.0,6.3415266647114,0.010051164281134025
Cameroon,2020-04-15 22:56:32,3.848,11.5021,848,17,165,12593613.0,1933775.0,1290038.0,775768.0,491843.0,260789.0,118010.0,17463836.0,72.1125244190337,11.073025422364251,7.386910871128199,4.442139745242684,2.8163514590952414,1.4933088011133406,0.6757392820225752,0.19133927391439087,2.0047169811320753,0.009734401995071416,870642.0,4.985399542231157,0.013103011392083717
Canada,2020-04-15 23:04:09,53.9333,-116.5765,28209,1007,8966,13090644.0,5064962.0,4784619.0,5304199.0,4491966.0,2735126.0,1587340.0,37058856.0,35.323929049509786,13.66734580257955,12.910865354289403,14.312905395676543,12.121167474786594,7.3804922634417,4.283294659716425,0.8914057276889497,3.569782693466624,0.2717299206429902,8814432.0,23.78495439794472,0.02780503735522883
Chad,2020-04-15 22:56:32,15.4542,18.7322,23,0,2,8260057.039459999,1115209.4978200002,733376.6391299999,428499.11691999994,263172.272552,146866.801186,84914.0236405,11032095.3907085,74.8729660769324,10.108773159804771,6.64766404891375,3.884113595327433,2.385514838583159,1.3312684126144776,0.7696998678239917,0.18073854639452555,0.0,0.0,494953.09737850004,4.486483119021628,0.008277314994426641
Chile,2020-04-15 22:56:32,-35.6751,-71.543,8273,94,2937,7823007.0,2837137.0,2492673.0,2430505.0,1724151.0,967809.0,902532.0,19177814.0,40.79196408933782,14.793849809993986,12.997690977709972,12.673524730190833,8.99034165207776,5.046503214599954,4.706125526089679,0.7691814405958886,1.1362262782545631,0.0490149711536466,3594492.0,18.74297039276739,0.0143889988040006
China,2020-04-09 01:12:20,31.8257,117.2264,83356,3346,78311,549638105.0,215164162.0,230348517.0,160065645.0,99780564.0,56824530.0,20989346.0,1332810869.0,41.23901731176534,16.1436380063014,17.2829110534512,12.009629327235025,7.486475862465375,4.26351039908874,1.5748180396929223,0.4904800503243796,4.014108162579778,0.025104837286557272,177594440.0,13.324804301247037,1.0
Colombia,2020-04-15 22:56:32,4.5709,-74.2973,3105,131,452,23600180.0,5836451.0,5023812.0,3285998.0,2025787.0,1206956.0,489200.0,41468384.0,56.91126039538942,14.074459713694173,12.114800518872402,7.924104300760791,4.885136107546415,2.910545055240156,1.1796939084966513,0.3412541178358916,4.219001610305958,0.03159033156440338,3721943.0,8.975375071283223,0.031113479762596385
Congo,2020-04-15 22:56:32,-4.2634,15.2832,117,5,11,2497276.0,528109.0,317489.0,177108.0,104768.0,55719.0,17021.0,3697490.0,67.53976346115878,14.282905430440652,8.586608753505756,4.789952102642603,2.8334897457464385,1.5069411952432596,0.46033931126250505,0.18247457058707395,4.273504273504273,0.013522687012000031,177508.0,4.800770252252203,0.002774204567204801
Costa Rica,2020-04-15 22:56:32,9.7489,-83.7534,626,4,67,2259474.0,735405.0,610946.0,603842.0,445851.0,229848.0,118307.0,5003673.0,45.1563081760139,14.697303360951045,12.20995057031105,12.067974865663682,8.91047436553108,4.593585552053462,2.364403109475779,0.5765974714974379,0.6389776357827476,0.007994127513928268,794006.0,15.868463027060322,0.0037542258368242643
Cote d'Ivoire,2020-04-15 22:56:32,7.54,-5.5471,638,6,114,15751910.0,3130251.0,1783626.0,1087416.0,564890.0,244108.0,104670.0,22666871.0,69.49309412843088,13.809806391010035,7.868867299769783,4.797380282439512,2.4921392988030857,1.0769373505500606,0.4617752489966524,0.15780640830399573,0.9404388714733543,0.0026470349612877754,913668.0,4.030851898349798,0.01700681734161338
Croatia,2020-04-15 22:56:32,45.1,15.2,1741,33,473,1294181.0,552831.0,543591.0,591011.0,555410.0,355202.0,213320.0,4105546.0,31.522749958227237,13.465468417599025,13.240407000676646,14.395429986657074,13.528285884508417,8.651760326153939,5.195898426177663,1.0333422643419412,1.8954623779437105,0.08037907747227774,1123932.0,27.37594463684002,0.0030803665362365827
Cuba,2020-04-15 22:56:32,21.521757,-77.78116700000002,814,24,151,3984999.0,1368446.5,1789664.5,1802795.0,1123432.5,758843.5,573648.0,11401829.0,34.95052416590356,12.00199108406204,15.696293112271725,15.811454460508045,9.853090236662908,6.655454138103632,5.031192802488092,0.8871708653059085,2.9484029484029484,0.021049254466103638,2455924.0,21.53973717725463,0.008554723903590855
Cyprus,2020-04-15 22:56:32,35.1264,33.4299,715,12,65,330953.0,131696.0,116968.0,103890.0,81362.0,50491.0,24948.0,840308.0,39.38472560061311,15.672348710234818,13.919658030150849,12.363323924084979,9.682402166824545,6.008630168938057,2.9689113991536438,0.6964140529424927,1.6783216783216783,0.14280478110407135,156801.0,18.659943734916247,0.0006304780517212303
Czechia,2020-04-15 22:56:32,49.8175,15.473,6216,166,819,3335639.0,1541809.0,1675966.0,1317890.0,1383116.0,928213.0,427609.0,10610242.0,31.437916307658202,14.531327372174923,15.795737740948793,12.420923104298657,13.03566874346504,8.748273602053564,4.030153129400818,0.9418925788874561,2.6705276705276706,0.1564526049452972,2738938.0,25.814095474919423,0.007960800925911417
Denmark,2020-04-15 22:56:32,61.8926,-6.9118,6876,309,2925,2083874.0,674218.0,769744.0,796680.0,663871.0,537011.0,258535.0,5783933.0,36.028667690306925,11.656739453932126,13.308314601846183,13.77401847497196,11.47784734020951,9.28453009396893,4.469882344764367,0.9732951609225072,4.493891797556719,0.5342385535932038,1459417.0,25.232259778942804,0.004339650234349942
Dominica,2020-04-15 22:56:32,15.415,-61.371,16,0,8,33714.0,8536.0,9425.0,7039.0,4652.0,3454.0,2093.0,68913.0,48.922554525270996,12.386632420588278,13.676664780230144,10.214328210932626,6.750540536618635,5.012116726887525,3.0371627994717976,0.6023754589119614,0.0,0.0,10199.0,14.79982006297796,5.170501051788767e-05
Dominican Rep,2020-04-15 22:56:32,18.7357,-70.1627,3614,189,208,5435317.0,1349795.0,1079857.0,724649.0,454834.0,260558.0,140271.0,9445281.0,57.54531813293855,14.290681240716927,11.432767325821223,7.672074552361121,4.8154628750589845,2.7586050642643665,1.4850908088388266,0.3541902459016307,5.229662423907029,0.20009992291388684,855663.0,9.059158748162178,0.007086737675756454
Ecuador,2020-04-15 22:56:32,-1.8312,-78.1834,7858,388,780,8440652.0,2006015.0,1569143.0,1126025.0,724576.0,405309.0,211779.0,14483499.0,58.27771314100274,13.85034790280995,10.834004959713118,7.774537078367596,5.002769013205994,2.798419083675844,1.4622088212247606,0.3564350921003275,4.937643166200051,0.2678910669307189,1341664.0,9.263396918106597,0.010866882418858786
Egypt,2020-04-15 22:56:32,26.820553000000004,30.802498,2505,183,589,57852249.0,13830704.0,9545234.0,7258467.0,4369561.0,1480236.0,462376.0,94798827.0,61.026334218249346,14.589530733328587,10.068936823448247,7.656705499109181,4.609298593958341,1.5614497002162273,0.4877444316900672,0.22668470465357132,7.3053892215568865,0.019304036325259594,6312173.0,6.658492725864636,0.071126991237044
El Salvador,2020-04-15 22:56:32,13.7942,-88.8965,159,6,30,3722967.0,881082.0,716351.0,533641.0,371222.0,233437.0,179082.0,6637782.0,56.08751537787773,13.273741138229608,10.792023600654556,8.03944751424497,5.592560888561872,3.516792205589156,2.6979192748421084,0.48558422075325763,3.7735849056603774,0.009039163985801282,783741.0,11.807272368993136,0.004980288017144014
Estonia,2020-04-15 22:56:32,58.5953,25.0136,1400,35,117,435656.0,188315.0,180698.0,172219.0,161075.0,109172.0,72324.0,1319459.0,33.017774709180046,14.272137292632813,13.694855239912721,13.052243381567749,12.207654803976478,8.273997145799909,5.48133742693028,1.01372896012684,2.5,0.26526023165554974,342571.0,25.962989376706663,0.0009899821727819358
Eswatini,2020-04-15 22:56:32,-26.5225,31.4659,15,0,8,723352.0,114623.0,75156.0,47975.0,33569.0,15827.0,7223.0,1017725.0,71.07538873467783,11.262669188631506,7.384706084649586,4.71394531921688,3.2984352354516204,1.5551352280822421,0.709720209290329,0.204950354958363,0.0,0.0,56619.0,5.563290672824191,0.0007635929625660939
Ethiopia,2020-04-15 22:56:32,9.145,40.4897,85,3,15,54003344.0,7996708.0,5120284.0,3061786.0,2040261.0,1026736.0,501813.0,73750932.0,73.22394786821135,10.842856873998555,6.942670229577573,4.151521773311285,2.7664206331656933,1.3921668135665053,0.6804158081690411,0.18474103486583737,3.5294117647058822,0.0004067745204901275,3568810.0,4.83900325490124,0.055334881876627315
Finland,2020-04-15 22:56:32,61.92411,25.748151,3237,72,300,1868556.0,702767.0,660703.0,734554.0,737233.0,514580.0,295104.0,5513497.0,33.890577976191885,12.746302392111577,11.983374616872014,13.32283304044602,13.37142289185974,9.333096580990249,5.352392501528522,1.0652877656412982,2.2242817423540315,0.13058862641985658,1546917.0,28.05691197437851,0.004136743725789649
